fips,county_name,state_name,net_migration,population_2016,percent_change
030037,Golden Valley County,Montana,35.0,818.0,4.279
045065,McCormick County,South Carolina,409.0,9656.0,4.236
041031,Jefferson County,Oregon,951.0,22541.0,4.219
037019,Brunswick County,North Carolina,5120.0,122211.0,4.189
020037,Crawford County,Kansas,1639.0,39139.0,4.188
031021,Burt County,Nebraska,273.0,6538.0,4.176
048411,San Saba County,Texas,247.0,5922.0,4.171
049039,Sanpete County,Utah,1193.0,28654.0,4.163
016067,Minidoka County,Idaho,850.0,20430.0,4.161
025015,Hampshire County,Massachusetts,6670.0,160709.0,4.15
037139,Pasquotank County,North Carolina,1633.0,39384.0,4.146
040119,Payne County,Oklahoma,3370.0,81363.0,4.142
013235,Pulaski County,Georgia,470.0,11395.0,4.125
048147,Fannin County,Texas,1381.0,33502.0,4.122
046035,Davison County,South Dakota,820.0,19916.0,4.117
051147,Prince Edward County,Virginia,947.0,23120.0,4.096
004021,Pinal County,Arizona,16573.0,405614.0,4.086
040141,Tillman County,Oklahoma,309.0,7567.0,4.084
012019,Clay County,Florida,8264.0,202392.0,4.083
017109,McDonough County,Illinois,1277.0,31449.0,4.061
029203,Shannon County,Missouri,336.0,8273.0,4.061
051680,Lynchburg City,Virginia,3209.0,79134.0,4.055
029101,Johnson County,Missouri,2168.0,53496.0,4.053
048297,Live Oak County,Texas,491.0,12173.0,4.034
029131,Miller County,Missouri,1003.0,24872.0,4.033
024029,Kent County,Maryland,790.0,19715.0,4.007
053003,Asotin County,Washington,883.0,22113.0,3.993
001077,Lauderdale County,Alabama,3682.0,92459.0,3.982
049051,Wasatch County,Utah,1159.0,29118.0,3.98
012027,DeSoto County,Florida,1406.0,35648.0,3.944
026107,Mecosta County,Michigan,1691.0,43005.0,3.932
019141,O'Brien County,Iowa,546.0,13926.0,3.921
017101,Lawrence County,Illinois,645.0,16465.0,3.917
017169,Schuyler County,Illinois,280.0,7151.0,3.916
031063,Frontier County,Nebraska,103.0,2631.0,3.915
020027,Clay County,Kansas,324.0,8293.0,3.907
021235,Whitley County,Kentucky,1405.0,36109.0,3.891
055113,Sawyer County,Wisconsin,633.0,16288.0,3.886
017077,Jackson County,Illinois,2296.0,59214.0,3.877
022069,Natchitoches Parish,Louisiana,1500.0,39004.0,3.846
051830,Williamsburg City,Virginia,567.0,14800.0,3.831
020153,Rawlins County,Kansas,96.0,2506.0,3.831
042113,Sullivan County,Pennsylvania,240.0,6267.0,3.83
037149,Polk County,North Carolina,781.0,20414.0,3.826
019063,Emmet County,Iowa,371.0,9702.0,3.824
040053,Grant County,Oklahoma,172.0,4500.0,3.822
001045,Dale County,Alabama,1881.0,49365.0,3.81
048473,Waller County,Texas,1844.0,48641.0,3.791
016021,Boundary County,Idaho,423.0,11299.0,3.744
028111,Perry County,Mississippi,451.0,12071.0,3.736
055093,Pierce County,Wisconsin,1532.0,41069.0,3.73
020199,Wallace County,Kansas,56.0,1505.0,3.721
018157,Tippecanoe County,Indiana,6883.0,186723.0,3.686
051183,Sussex County,Virginia,430.0,11692.0,3.678
048491,Williamson County,Texas,18637.0,507133.0,3.675
001119,Sumter County,Alabama,485.0,13206.0,3.673
019041,Clay County,Iowa,605.0,16498.0,3.667
019157,Poweshiek County,Iowa,673.0,18358.0,3.666
012109,St. Johns County,Florida,8252.0,226362.0,3.645
013173,Lanier County,Georgia,373.0,10269.0,3.632
048403,Sabine County,Texas,379.0,10440.0,3.63
008003,Alamosa County,Colorado,577.0,15894.0,3.63
028071,Lafayette County,Mississippi,1914.0,52736.0,3.629
008051,Gunnison County,Colorado,580.0,16104.0,3.602
019049,Dallas County,Iowa,2897.0,80631.0,3.593
045053,Jasper County,South Carolina,986.0,27460.0,3.591
008123,Weld County,Colorado,10261.0,285819.0,3.59
028161,Yalobusha County,Mississippi,447.0,12458.0,3.588
037113,Macon County,North Carolina,1222.0,34090.0,3.585
031045,Dawes County,Nebraska,321.0,8958.0,3.583
033017,Strafford County,New Hampshire,4545.0,127038.0,3.578
048257,Kaufman County,Texas,4073.0,114055.0,3.571
021165,Menifee County,Kentucky,227.0,6373.0,3.562
048303,Lubbock County,Texas,10592.0,298337.0,3.55
036033,Franklin County,New York,1793.0,50540.0,3.548
030047,Lake County,Montana,1040.0,29457.0,3.531
051595,Emporia City,Virginia,196.0,5558.0,3.526
030077,Powell County,Montana,239.0,6799.0,3.515
017019,Champaign County,Illinois,7345.0,209382.0,3.508
024039,Somerset County,Maryland,899.0,25687.0,3.5
016081,Teton County,Idaho,375.0,10725.0,3.497
031069,Garden County,Nebraska,67.0,1916.0,3.497
019129,Mills County,Iowa,516.0,14882.0,3.467
051710,Norfolk City,Virginia,8494.0,246457.0,3.446
029197,Schuyler County,Missouri,155.0,4500.0,3.444
035057,Torrance County,New Mexico,537.0,15596.0,3.443
038069,Pierce County,North Dakota,147.0,4273.0,3.44
020031,Coffey County,Kansas,283.0,8291.0,3.413
027007,Beltrami County,Minnesota,1549.0,45605.0,3.397
047107,McMinn County,Tennessee,1783.0,52502.0,3.396
048505,Zapata County,Texas,492.0,14493.0,3.395
051021,Bland County,Virginia,221.0,6532.0,3.383
021035,Calloway County,Kentucky,1299.0,38656.0,3.36
051007,Amelia County,Virginia,428.0,12784.0,3.348
039057,Greene County,Ohio,5478.0,164272.0,3.335
002185,North Slope Borough,Alaska,325.0,9788.0,3.32
041045,Malheur County,Oregon,1003.0,30211.0,3.32
029093,Iron County,Missouri,338.0,10203.0,3.313
008087,Morgan County,Colorado,936.0,28252.0,3.313
019169,Story County,Iowa,3198.0,96636.0,3.309
045077,Pickens County,South Carolina,4014.0,121500.0,3.304
037161,Rutherford County,North Carolina,2184.0,66375.0,3.29
018035,Delaware County,Indiana,3801.0,115767.0,3.283
048121,Denton County,Texas,25587.0,779584.0,3.282
038051,McIntosh County,North Dakota,89.0,2717.0,3.276
031117,McPherson County,Nebraska,16.0,489.0,3.272
051790,Staunton City,Virginia,790.0,24185.0,3.266
046021,Campbell County,South Dakota,46.0,1413.0,3.255
028073,Lamar County,Mississippi,1981.0,60966.0,3.249
012015,Charlotte County,Florida,5582.0,172382.0,3.238
013287,Turner County,Georgia,258.0,7982.0,3.232
047041,DeKalb County,Tennessee,623.0,19292.0,3.229
051570,Colonial Heights City,Virginia,563.0,17444.0,3.227
048221,Hood County,Texas,1781.0,55227.0,3.225
016059,Lemhi County,Idaho,249.0,7737.0,3.218
048217,Hill County,Texas,1117.0,34828.0,3.207
029085,Hickory County,Missouri,297.0,9266.0,3.205
020111,Lyon County,Kansas,1061.0,33133.0,3.202
045043,Georgetown County,South Carolina,1967.0,61456.0,3.201
